id,name,description,is_active,need_approval,created_at,updated_at,role_id,reports_to_role_id
490,appreciations.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
491,campaigns.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
492,campaigns.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
493,campaigns.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
494,campaigns.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
495,campaigns.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
496,comments.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
497,comments.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
498,comments.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
499,comments.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
500,comments.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
501,contents.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
502,contents.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
503,contents.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
504,contents.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
505,contents.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
506,general.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
507,general.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
508,general.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
509,general.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
510,general.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
511,media.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
512,media.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
513,media.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
514,media.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
515,media.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
516,messages.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
517,messages.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
518,messages.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
519,messages.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
520,messages.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
521,notifications.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
522,notifications.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
523,notifications.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
524,notifications.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
525,notifications.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
526,resources.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
527,resources.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
528,resources.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
529,resources.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
530,resources.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
531,responses.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
532,responses.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
533,responses.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
534,responses.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
535,responses.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
536,roles.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
537,roles.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
538,roles.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
539,roles.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
540,roles.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
541,subjects.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
542,subjects.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
543,subjects.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
544,subjects.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
545,subjects.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
546,subscribers.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
547,subscribers.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
548,subscribers.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
549,subscribers.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
550,subscribers.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
551,tags.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
552,tags.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
553,tags.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
554,tags.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
555,tags.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
556,users.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
557,users.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
558,users.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
559,users.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
560,users.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
561,accepted-domains.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,8,7
562,accepted-domains.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,8,7
